,Bal,Brick,Dist,Floor,Kitsp,Livesp,Metrdist,New,Nfloors,Price,Rooms,Tel,Totsp,Walk,lat,lon
491,0.0,0.0,0.0631045739229753,3.0,8.5,42.2,12,0.0,5,14850000.0,3.0,NA,67.6,1,55.757288,37.55681
492,1.0,1.0,0.02464354002573784,6.0,8.0,23.0,5,0.0,6,14900000.0,2.0,NA,42.0,1,55.777773,37.6145
493,0.0,0.0,0.05734688149324253,2.0,10.0,20.0,15.0,0.0,11.0,14900000.0,1.0,0.0,44.0,1.0,55.716133,37.576492
494,1.0,0.0,0.05340401426859148,3.0,8.6,29.6,5.0,0.0,9.0,14900000.0,2.0,0.0,52.0,0.0,55.766111,37.567869
495,1.0,1.0,0.0331777141014886,2.0,5.1,32.2,8,1.0,11,14968983.0,2.0,NA,48.2,1,55.730857,37.643866
496,0.0,1.0,0.061972029852182246,12.0,7.0,34.0,1,0.0,12,15000000.0,2.0,NA,55.0,1,55.745149,37.681191
497,0.0,1.0,0.04170952199438343,2.0,NA,31.0,5,0.0,13,15000000.0,2.0,NA,53.0,1,55.735525,37.65735
498,1.0,1.0,0.0825407628993084,6.0,15.0,30.0,10.0,0.0,20.0,15000000.0,1.0,1.0,50.0,1.0,55.756427,37.537317
499,1.0,1.0,0.0825407628993084,6.0,15.0,30.0,10.0,0.0,22.0,15000000.0,1.0,1.0,50.0,1.0,55.756427,37.537317
500,1.0,0.0,0.017734585560422296,9.0,9.6,20.0,1.0,0.0,15.0,15000000.0,1.0,0.0,40.0,1.0,55.736012,37.618659
501,0.0,0.0,0.025782974110833145,4.0,8.0,34.0,9.0,0.0,24.0,15000000.0,2.0,1.0,52.0,1.0,55.753154,37.594036
502,1.0,0.0,0.0446396521603856,4.0,NA,46.0,3,0.0,5,15000000.0,3.0,0,66.2,1,55.75859,37.575441
503,1.0,0.0,0.03361338966840435,1.0,10.7,19.6,3.0,0.0,12.0,15000000.0,1.0,1.0,46.4,1.0,55.779251,37.597962
504,0.0,0.0,0.05659464251145772,1.0,NA,15.9,6,1.0,NA,4116245.0,1.0,NA,15.9,1,55.775753,37.671938
505,0.0,1.0,0.08549527950127053,11.0,NA,NA,5,0.0,85,42432000.0,1.0,NA,88.0,1,55.750028,37.534397
506,1.0,1.0,0.0303699354131635,2.0,12.1,26.8,10,1.0,19,14284800.0,2.0,NA,57.6,1,55.774305,37.642132
507,0.0,1.0,0.032602475059422036,3.0,NA,53.0,8,0.0,6,15000000.0,3.0,1,80.7,1,55.722117,37.627867
508,1.0,1.0,0.054385670998892466,4.0,8.0,38.3,11.0,0.0,5.0,15000000.0,2.0,1.0,64.0,1.0,55.769676,37.567824
509,1.0,0.0,0.025626588243465438,6.0,8.0,26.1,10.0,0.0,15.0,15000000.0,2.0,1.0,50.0,1.0,55.779034,37.615893
510,1.0,1.0,0.0680786131248321,3.0,9.0,52.0,10,0.0,5,15000000.0,4.0,NA,72.0,1,55.758651,37.551914
511,0.0,0.0,0.05265429464915752,2.0,10.0,36.0,7,0.0,12,15100000.0,2.0,NA,61.0,1,55.766552,37.568749
512,0.0,1.0,0.05804118080294476,7.0,NA,38.0,6,1.0,10,15100000.0,2.0,NA,52.0,1,55.774634,37.673951
513,0.0,0.0,0.057014074797366136,2.0,NA,NA,5,0.0,8,15125860.0,3.0,NA,85.3,1,55.776294,37.672163
514,0.0,1.0,0.033881933076495716,2.0,NA,20.0,8,1.0,9,15200000.0,1.0,NA,38.0,1,55.767514,37.588871
515,1.0,1.0,0.023464585783690838,1.0,12.5,18.0,8,0.0,9,15200000.0,1.0,NA,50.0,1,55.74979,37.596678
516,1.0,1.0,0.06301011738601969,3.0,8.0,48.0,2.0,0.0,5.0,15200000.0,3.0,1.0,70.0,1.0,55.772487,37.67996
517,1.0,0.0,0.032602475059422036,5.0,9.0,48.0,8.0,0.0,6.0,15200000.0,3.0,1.0,67.0,1.0,55.722117,37.627867
518,0.0,0.0,0.05659464251145772,7.0,NA,NA,9,1.0,9,15234950.0,2.0,NA,52.2,1,55.775753,37.671938
519,1.0,1.0,0.0303699354131635,4.0,11.6,28.8,10,1.0,19,15265800.0,2.0,NA,59.4,1,55.774305,37.642132
520,1.0,1.0,0.040223269509078986,2.0,NA,46.0,6,0.0,5,15400000.0,3.0,1,64.0,1,55.744526,37.580652
521,0.0,1.0,0.04584311930922551,7.0,NA,42.0,5,0.0,9,15558553.0,2.0,NA,55.0,1,55.776877,37.659371
522,0.0,1.0,0.015192013197732194,1.0,NA,37.0,4,0.0,3,15500000.0,3.0,1,60.1,1,55.767453,37.626286
523,1.0,1.0,0.025347886696922086,4.0,6.0,44.0,8.0,0.0,7.0,15500000.0,3.0,0.0,60.0,1.0,55.773241,37.603657
524,1.0,1.0,0.05406014402496491,10.0,10.0,30.0,5.0,0.0,11.0,15500000.0,2.0,0.0,51.0,0.0,55.765645,37.567087
525,0.0,1.0,0.016824639312625393,2.0,4.0,30.0,3.0,0.0,12.0,15500000.0,1.0,0.0,37.0,1.0,55.763067,37.605831
526,0.0,1.0,0.016824639312625393,2.0,7.0,27.0,4.0,0.0,10.0,15500000.0,2.0,1.0,37.0,1.0,55.763067,37.605831
527,0.0,1.0,0.025864786892611492,2.0,12.0,39.0,5.0,0.0,7.0,15500000.0,3.0,1.0,68.0,1.0,55.72926,37.628253
528,0.0,0.0,0.035997626199510746,7.0,7.4,31.7,3.0,0.0,8.0,15500000.0,2.0,1.0,50.2,1.0,55.755013,37.655787
529,1.0,1.0,0.036889066361184365,6.0,NA,40.0,10,0.0,9,15500000.0,2.0,NA,50.0,1,55.767053,37.585422
530,0.0,1.0,0.03274789832951083,7.0,NA,NA,5,1.0,7,15512784.0,1.0,NA,38.0,1,55.731075,37.64348
531,0.0,0.0,0.0331777141014886,2.0,NA,NA,8,1.0,7,15558049.0,1.0,NA,45.6,1,55.730857,37.643866
532,1.0,0.0,0.016364133738147844,11.0,15.0,170.0,4,0.0,11,381025800.0,NA,NA,285.0,1,55.738216,37.614545
533,0.0,0.0,0.02965122103724998,4.0,NA,41.0,10,1.0,11,37912067.0,1,NA,59.7,1,55.741531,37.646848
534,0.0,0.0,0.026074574320593305,4.0,NA,NA,9,0.0,8,520735260.0,4,NA,212.0,1,55.742514,37.596264
535,1.0,1.0,0.0303699354131635,2.0,14.5,32.7,10,1.0,19,15592500.0,2,NA,67.5,1,55.774305,37.642132
536,0.0,1.0,0.03299517643534986,3.0,8.0,31.9,5,1.0,7,15638200.0,1,NA,38.9,1,55.731551,37.644261
537,1.0,0.0,0.03598061268239167,9.0,8.0,30.0,10.0,0.0,17.0,15650000.0,2.0,0.0,45.0,0.0,55.740517,37.586338
538,0.0,1.0,0.033881933076495716,3.0,8.0,32.1,10,1.0,8,15680000.0,1,NA,39.2,1,55.767514,37.588871
539,1.0,1.0,0.03789928835743654,6.0,6.0,27.0,5.0,0.0,8.0,15700000.0,2.0,1.0,44.0,1.0,55.730112,37.590156
540,1.0,0.0,0.037480478185316767,4.0,10.8,29.7,6.0,0.0,7.0,15700000.0,2.0,1.0,56.2,1.0,55.765083,37.655526
